name,address,city,state,zipcode,lat,lon
RushBudz Dispensary,"77 Main St, South Bound Brook, NJ 08880",South Bound Brook,NJ,08880,40.554242,-74.524863
Ruuted,"14 Main St, Englishtown, NJ 07726",Englishtown,NJ,07726,40.295289,-74.358089
Salt Air Botanicals,"1127 Arctic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.364729,-74.426005
Scarlet Reserve Room,"5 Hamilton Rd, Englishtown, NJ 07726",Englishtown,NJ,07726,40.296292,-74.357847
Sea & Leaf,"3860 Bayshore Rd, North Cape May, NJ 08204",North Cape May,NJ,08204,38.974359,-74.943579
Shipwreck'd,"300 W Sylvania Ave, Neptune City, NJ 07753",Neptune City,NJ,07753,40.205728,-74.046754
Shore House Canna,"124 Sunset Blvd, Cape May, NJ 08204",Cape May,NJ,08204,38.935367,-74.932765
Simply Pure Trenton,"1531 N Olden Ave, Ewing Township, NJ 08638",Ewing Township,NJ,08638,40.240788,-74.754341
Sky Cannabis,"52 E Broad St unit 9, Hopewell, NJ 08525",Hopewell,NJ,08525,40.390944,-74.757715
Social Dispensary,"614 N Pearl St, Bridgeton, NJ 08302",Bridgeton,NJ,08302,39.444695,-75.221758
Somerset Green,"729 Somerset St, Somerset, NJ 08873",Somerset,NJ,08873,40.484774,-74.476412
Soulflora,"2713 NJ-23, Newfoundland, NJ 07435",Newfoundland,NJ,07435,41.047861,-74.439907
Sparkology,"3231 NJ-27, Franklin Park, NJ 08823",Franklin Park,NJ,08823,40.441734,-74.530924
Spot 23 LLC,"2915 NJ-23, Newfoundland, NJ 07435",Newfoundland,NJ,07435,41.053071,-74.454704
Springfield Ave Dispensary,"1070 Springfield Ave, Irvington, NJ 07111",Irvington,NJ,07111,40.726055,-74.232229
Story Dispensary of Springfield,"130 US-22, Springfield, NJ 07081",Springfield,NJ,07081,40.686797,-74.317002
SunnyTien,"3004 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.353635,-74.448234
Sussex Pharms,"54 Main St, Sussex, NJ 07461",Sussex,NJ,07461,41.209352,-74.607602
Sweet Leaf's LLC,"21 S Tennessee Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.361416,-74.427356
Sweetspot Dispensary Maplewood,"751 Irvington Ave, Maplewood, NJ 07040",Maplewood,NJ,07040,40.730961,-74.244199
Sweetspot River Edge,"75 Rte 4, River Edge, NJ 07661",River Edge,NJ,07661,40.919262,-74.065495
Taste of Earth,"108 Wheat Rd, Buena, NJ 08310",Buena,NJ,08310,39.512974,-74.926663
The Cannabis Place,"1544 John F. Kennedy Blvd, Jersey City, NJ 07305",Jersey City,NJ,07305,40.694091,-74.100408
The Dispensary of Saddle Brook,"225 US-46, Saddle Brook, NJ 07663",Saddle Brook,NJ,07663,40.889397,-74.093896
The Frosted Nug at Red Bank,"22 Bridge Ave, Red Bank, NJ 07701",Red Bank,NJ,07701,40.35046,-74.075098
"The Goods Supply Co. Victory Gardens, LLC","330 S Salem St, Dover, NJ 07801",Dover,NJ,07801,40.878133,-74.539636
The Healing Side,"2415 Pacific Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.35551,-74.440424
The Honorable Plant,"123 Bay Ave, Highlands, NJ 07732",Highlands,NJ,07732,40.400244,-73.985413
The Jersey Joint Dispensary,"7-11 State St, Glassboro, NJ 08028",Glassboro,NJ,08028,39.702148,-75.107027
The Leaf and Seed Dispensary,"328 White Horse Pike Unit L, Clementon, NJ 08021",Clementon,NJ,08021,39.806298,-74.970431
The Library of New Jersey,"1-3 Washington St, West Orange, NJ 07052",West Orange,NJ,07052,40.784997,-74.226608
The Medicine Woman,"660 Tonnelle Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.752911,-74.057037
The Other Side Dispensary,"36 Congress St, Jersey City, NJ 07307",Jersey City,NJ,07307,40.749254,-74.041405
The Social Leaf,"334 Atlantic City Blvd, Toms River, NJ 08757",Toms River,NJ,08757,39.949298,-74.198013
The THC Shop,"1740 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.359886,-74.432739
The Wildflower Market,"1810 Wayside Rd suite a, Eatontown, NJ 07724",Eatontown,NJ,07724,40.283668,-74.092546
Timber 5,"695 Hamilton St, Somerset, NJ 08873",Somerset,NJ,08873,40.491563,-74.473245
Township Green,"15-17 E Scott St, Riverside, NJ 08075",Riverside,NJ,08075,40.038164,-74.958838
Tree House Co-Op Dispensary,"326 NJ-73, Voorhees Township, NJ 08043",Voorhees Township,NJ,08043,39.851548,-74.920992
Treeotics,"467 Lyons Ave, Newark, NJ 07112",Newark,NJ,07112,40.715067,-74.223703
Twisted Hat Cannabis,"515 Shell Rd, Carneys Point, NJ 08069",Carneys Point,NJ,08069,39.687448,-75.487443
Uforia Dispensary,"138 Griffith St, Jersey City, NJ 07307",Jersey City,NJ,07307,40.7457,-74.048723
Uma Flowers,"100 Ridgedale Ave, Morristown, NJ 07960",Morristown,NJ,07960,40.800966,-74.467182
Union Chill,"204 N Union St, Lambertville, NJ 08530",Lambertville,NJ,08530,40.374058,-74.947382
Unity Rd. Cannabis Shop,"441 Elizabeth Ave, Somerset, NJ 08873",Somerset,NJ,08873,40.529099,-74.539467
Urge,"941 Elizabeth Ave, Elizabeth, NJ 07201",Elizabeth,NJ,07201,40.660366,-74.206456
Vigor Dispensary,"1082 NJ-34, Matawan, NJ 07747",Matawan,NJ,07747,40.398847,-74.228721
Village Hoboken,"516 Washington St, Hoboken, NJ 07030",Hoboken,NJ,07030,40.742819,-74.029584
Voltaire NJ,"47 Mill St, Mt Holly, NJ 08060",Mt Holly,NJ,08060,39.993423,-74.786125
West Orange Wellness,"26 S Valley Rd, West Orange, NJ 07052",West Orange,NJ,07052,40.765955,-74.250895
Woodbury Wellness,"818 N Broad St, Woodbury, NJ 08096",Woodbury,NJ,08096,39.847949,-75.144854
Xena NJ,"759a Bergen Ave, Jersey City, NJ 07305",Jersey City,NJ,07305,40.72595,-74.067861
Zacate,"Millside Shopping Center II, 4037 US-130, Delran, NJ 08075",Delran,NJ,08075,40.014151,-74.959221
Zen Leaf Mount Holly,"600 High St, Mt Holly, NJ 08060",Mt Holly,NJ,08060,40.007162,-74.79821
Apothecarium Dispensary,"55 S Main St, Phillipsburg, NJ 08865",Phillipsburg,NJ,08865,40.690852,-75.201763
Apothecarium Dispensary,"1865 Springfield Ave, Maplewood, NJ 07040",Maplewood,NJ,07040,40.720909,-74.268156
Apothecarium Dispensary,"200 NJ-17, Lodi, NJ 07644",Lodi,NJ,07644,40.882838,-74.067274
Ascend,"325 NJ-15, Wharton, NJ 07885",Wharton,NJ,07885,40.905497,-74.568161
Ascend,"461-469 West St, Fort Lee, NJ 07024",Fort Lee,NJ,07024,40.859731,-73.972413
Ascend,"174 NJ-17, Rochelle Park, NJ 07662",Rochelle Park,NJ,07662,40.903659,-74.071038
Aunt Mary's Dispensary,"100 Reaville Ave, Flemington, NJ 08822",Flemington,NJ,08822,40.498121,-74.850898
Ayr Wellness,"950 US-1, Woodbridge, NJ 07095",Woodbridge,NJ,07095,40.567932,-74.294909
Ayr Wellness,"59 Main St, Eatontown, NJ 07724",Eatontown,NJ,07724,40.30203,-74.05808
Ayr Wellness,"2536 US-22, Union, NJ 07083",Union,NJ,07083,40.688853,-74.301242
BLOC,"1075 Easton Ave, Somerset, NJ 08873",Somerset,NJ,08873,40.516667,-74.488137
BLOC,"501 US-9, Waretown, NJ 08758",Waretown,NJ,08758,39.795855,-74.199022
BLOC,"1761 N Olden Ave, Ewing Township, NJ 08638",Ewing Township,NJ,08638,40.248043,-74.770761
Breakwater,"2 Corporate Dr, East Windsor, NJ 08512",East Windsor,NJ,08512,40.334293,-74.487241
Breakwater,"154 Westfield Ave W, Roselle Park, NJ 07204",Roselle Park,NJ,07204,40.661101,-74.268673
Brute's Roots,"6206 Black Horse Pike, Egg Harbor Township, NJ 08234",Egg Harbor Township,NJ,08234,39.430456,-74.603516
Curaleaf,"191 US-130, Bordentown, NJ 08505",Bordentown,NJ,08505,40.148762,-74.700117
Curaleaf,"4237 US-130, Edgewater Park, NJ 08010",Edgewater Park,NJ,08010,40.041729,-74.913396
Curaleaf,"640 Creek Rd, Bellmawr, NJ 08031",Bellmawr,NJ,08031,39.865049,-75.103094
Design 710,"112 Park Pl, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.357844,-74.432806
Downtown FLWR,"141 Newark Ave, Jersey City, NJ 07302",Jersey City,NJ,07302,40.720193,-74.044016
Eastern Green,"78 NJ-73, Voorhees Township, NJ 08043",Voorhees Township,NJ,08043,39.822565,-74.927731
Garfield Gardens Dispensary,"517 River Dr, Garfield, NJ 07026",Garfield,NJ,07026,40.875741,-74.115025
Holistic Solutions,"451 White Horse Pike, Atco, NJ 08004",Atco,NJ,08004,39.764345,-74.890869
